id,influencer_id,url,post,follower,like,comment,react_rate,desire_to_mimic,sWOM,purchase_intention
600,_eat_foods,https://instagram.com/_eat_foods,30,1589,643,23,0.005987593,,,
601,k.hyun._.365,https://instagram.com/k.hyun._.365,3,1321,96,40,0.014707473,,,
602,pure_kkkk,https://instagram.com/pure_kkkk,5,1043,27,0,0.002218874,,,
603,y_seul_._0,https://instagram.com/y_seul_._0,7,1675,2268,44,0.084508072,,,
604,j_seungbin,https://instagram.com/j_seungbin,28,1727,1446,142,0.014074188,,,
605,kittygiin,https://instagram.com/kittygiin,10,1774,409,73,0.011644387,,,
606,jso_mukbang,https://instagram.com/jso_mukbang,5,2112,1033,93,0.045698052,,,
607,byelee__,https://instagram.com/byelee__,6,1541,521,29,0.02549365,,,
608,kukuruxx,https://instagram.com/kukuruxx,5,1361,715,86,0.050446101,,,
609,_haneol15,https://instagram.com/_haneol15,4,1525,350,21,0.026065574,,,
610,suvinon,https://instagram.com/suvinon,7,1551,869,58,0.036592587,,,
611,whatvita_insta,https://instagram.com/whatvita_insta,14,1483,423,37,0.009495369,,,
612,junzzi_0812,https://instagram.com/junzzi_0812,2,1441,190,17,0.030782195,,,
613,hwangmono__o,https://instagram.com/hwangmono__o,6,2681,2137,733,0.076464006,,,
614,adela_hwang,https://instagram.com/adela_hwang,20,1604,1336,93,0.019090666,,,
615,hys113694,https://instagram.com/hys113694,4,1535,183,5,0.013122383,,,
616,blissful_hssj,https://instagram.com/blissful_hssj,7,1542,1976,632,0.103549591,,,
617,hi.o3o,https://instagram.com/hi.o3o,11,1533,826,66,0.022670089,,,
618,iam_queen.b_,https://instagram.com/iam_queen.b_,4,1545,752,19,0.053467406,,,
619,p.soraa,https://instagram.com/p.soraa,4,1563,524,26,0.037702221,,,
620,silverain_3,https://instagram.com/silverain_3,37,1767,4183,117,0.028187295,,,
621,toro_moongchi_mom,https://instagram.com/toro_moongchi_mom,58,1580,1972,157,0.009956663,,,
622,roykwon89,https://instagram.com/roykwon89,8,1769,921,75,0.030162319,,,
623,joonkyeom,https://instagram.com/joonkyeom,11,2137,2233,187,0.044120596,,,
624,j_moon089,https://instagram.com/j_moon089,4,1416,136,4,0.01059322,,,
625,kukuruxx,https://instagram.com/kukuruxx,5,1361,715,86,0.050446101,,,
626,_jjung_222,https://instagram.com/_jjung_222,69,2100,3110,148,0.009636202,,,
627,an_somins2,https://instagram.com/an_somins2,17,1609,1352,16,0.021434055,,,
628,bbo2979,https://instagram.com/bbo2979,12,1677,5087,285,0.114404975,,,
629,hi__seo,https://instagram.com/hi__seo,8,1493,1051,59,0.039828725,,,
630,so.ok2,https://instagram.com/so.ok2,10,1402,846,51,0.027420012,,,
631,_luun._.a,https://instagram.com/_luun._.a,29,1337,449,1,0.004974006,,,
632,fjssldaos7,https://instagram.com/fjssldaos7,65,1574,822,65,0.003715598,,,
633,leeyeon_taro_,https://instagram.com/leeyeon_taro_,33,1390,1964,90,0.019190881,,,
634,hr_e0326,https://instagram.com/hr_e0326,3,1463,179,15,0.018943463,,,
635,taerim85,https://instagram.com/taerim85,79,2783,4516,574,0.009922034,,,
636,everybitcounts,https://instagram.com/everybitcounts,16,1414,746,34,0.014775712,,,
637,jusnowflower,https://instagram.com/jusnowflower,5,1528,240,13,0.014192221,,,
638,le_ciel_wh,https://instagram.com/le_ciel_wh,2,1501,469,40,0.072665842,,,
639,2tmdwo,https://instagram.com/2tmdwo,9,1686,517,77,0.016776817,,,
640,gyul_domi,https://instagram.com/gyul_domi,1,1500,148,13,0.046,,,
641,98.0929_,https://instagram.com/98.0929_,14,1507,3373,93,0.070406132,,,
642,wawo_11,https://instagram.com/wawo_11,2,1603,361,20,0.05093129,,,
643,lsh.go,https://instagram.com/lsh.go,1,1498,88,6,0.026893,,,
644,bunbun.vietnamesestreetfood,https://instagram.com/bunbun.vietnamesestreetfood,2,1509,101,13,0.016188583,,,
645,tasty.crystal,https://instagram.com/tasty.crystal,1,1226,42,3,0.015730599,,,
646,del_11111,https://instagram.com/del_11111,24,2222,6634,1835,0.06806127,,,
647,seob.a,https://instagram.com/seob.a,7,2116,2792,95,0.083532657,,,
648,2.10km,https://instagram.com/2.10km,2,1495,228,31,0.037123746,,,
649,olleh_mamma_mia,https://instagram.com/olleh_mamma_mia,30,1857,4874,421,0.040733903,,,
650,bitter_sweet_181225,https://instagram.com/bitter_sweet_181225,4,1900,312,35,0.019567669,,,
651,greentearum,https://instagram.com/greentearum,37,2874,11562,1525,0.052744215,,,
652,ssu_loving,https://instagram.com/ssu_loving,37,41373,36472,2584,0.010934332,,,
653,ye_rim_s2,https://instagram.com/ye_rim_s2,7,1446,412,11,0.017910069,,,
654,hanna_ilj,https://instagram.com/hanna_ilj,7,2204,4749,60,0.133588281,,,
655,h.__.wonny,https://instagram.com/h.__.wonny,3,1462,0,0,0,,,
656,lhkroyal,https://instagram.com/lhkroyal,12,1475,178,15,0.004673123,,,
657,ysmile_je,https://instagram.com/ysmile_je,2,1108,54,4,0.011217122,,,
658,guruiscute,https://instagram.com/guruiscute,14,1455,821,26,0.017820324,,,
659,aliia.kg,https://instagram.com/aliia.kg,2,1478,391,19,0.059443263,,,
660,luv_yiuyiu,https://instagram.com/luv_yiuyiu,36,1584,3951,333,0.03219697,,,
661,coachglory1004,https://instagram.com/coachglory1004,17,1450,131,8,0.002416691,,,
662,brent.ywshin,https://instagram.com/brent.ywshin,2,1459,211,12,0.032752374,,,
663,solluv_95,https://instagram.com/solluv_95,15,1438,1442,35,0.029346314,,,
664,typhoon_ken,https://instagram.com/typhoon_ken,9,13769,6173,63,0.021566735,,,
665,chosen_sunmin,https://instagram.com/chosen_sunmin,35,1508,4357,161,0.036685974,,,
666,jung27481,https://instagram.com/jung27481,11,1433,479,21,0.013594222,,,
667,sso_______o,https://instagram.com/sso_______o,7,1911,4260,503,0.152596674,,,
668,corgi_gomi,https://instagram.com/corgi_gomi,4,1448,765,128,0.066076361,,,
669,luxurious_.0,https://instagram.com/luxurious_.0,9,1382,1207,70,0.044001103,,,
670,pively___,https://instagram.com/pively___,8,1593,7897,36,0.266781006,,,
671,skygm114,https://instagram.com/skygm114,9,1331,269,16,0.010196415,,,
672,jungah5804,https://instagram.com/jungah5804,10,1372,324,24,0.010870471,,,
673,skygm114,https://instagram.com/skygm114,9,1331,269,16,0.010196415,,,
674,min._.0209,https://instagram.com/min._.0209,5,3889,1012,50,0.023406678,,,
675,0723_su_ji,https://instagram.com/0723_su_ji,12,1446,2615,190,0.069279787,,,
676,jjuny030,https://instagram.com/jjuny030,23,1673,5813,240,0.067417107,,,
677,absolute_mimo,https://instagram.com/absolute_mimo,1,1428,36,2,0.011404562,,,
678,lahee_lovely,https://instagram.com/lahee_lovely,19,1574,1157,159,0.018859092,,,
679,seob.a,https://instagram.com/seob.a,7,2114,2794,95,0.083669608,,,
680,myjulietrose,https://instagram.com/myjulietrose,27,1472,936,78,0.010934265,,,
681,kkwak_life,https://instagram.com/kkwak_life,24,2553,6082,171,0.04373706,,,
682,skcy97,https://instagram.com/skcy97,5,1657,223,11,0.012104492,,,
683,cherish__aromaaa,https://instagram.com/cherish__aromaaa,7,1835,668,50,0.023955958,,,
684,in_7747,https://instagram.com/in_7747,1,1453,83,8,0.026841019,,,
685,da_y00ung,https://instagram.com/da_y00ung,237,2289,27648,1344,0.022903785,,,
686,dorybean,https://instagram.com/dorybean,77,2064,5209,382,0.015076908,,,
687,fm_heejae.shin,https://instagram.com/fm_heejae.shin,13,1663,2100,91,0.043434016,,,
688,sumoo.26,https://instagram.com/sumoo.26,6,3567,1855,285,0.042853138,,,
689,bemi.___,https://instagram.com/bemi.___,5,1524,1208,104,0.073790776,,,
690,narubong,https://instagram.com/narubong,13,4971,373,34,0.002699172,,,
691,kang._.711,https://instagram.com/kang._.711,6,1437,2544,81,0.130480167,,,
692,uxrimi,https://instagram.com/uxrimi,11,1531,1207,68,0.032446326,,,
693,mrs.park_best,https://instagram.com/mrs.park_best,110,2129,5367,1322,0.012240976,,,
694,yunchae0609,https://instagram.com/yunchae0609,12,1488,734,105,0.020137289,,,
695,uknow.cho,https://instagram.com/uknow.cho,12,1664,6355,88,0.138285543,,,
696,bj_camp,https://instagram.com/bj_camp,8,1617,2984,167,0.104393056,,,
697,yj_eunwoo_mom,https://instagram.com/yj_eunwoo_mom,30,2291,1062,236,0.008093783,,,
698,daddy.of.spaceboy,https://instagram.com/daddy.of.spaceboy,17,1762,1598,74,0.023922395,,,
699,shin_zzang__,https://instagram.com/shin_zzang__,1,1459,291,8,0.087829237,,,
700,mimi._.kong,https://instagram.com/mimi._.kong,5,1572,280,19,0.016303162,,,
701,narubong,https://instagram.com/narubong,13,4961,373,34,0.002704612,,,
702,26th._.ray,https://instagram.com/26th._.ray,9,1814,1848,127,0.051845435,,,
703,ning_vely,https://instagram.com/ning_vely,7,12381,2744,70,0.013915331,,,
704,good960,https://instagram.com/good960,1,1829,150,8,0.037022573,,,
705,1201.__.99kimseungheeeee,https://instagram.com/1201.__.99kimseungheeeee,5,1431,876,75,0.056963163,,,
706,solsol.home,https://instagram.com/solsol.home,12,1643,1514,94,0.034953482,,,
707,hyeon5225,https://instagram.com/hyeon5225,4,1543,87,2,0.006179983,,,
708,studio_bobs,https://instagram.com/studio_bobs,3,1876,251,15,0.020255864,,,
709,vitnachu,https://instagram.com/vitnachu,20,1448,2570,14,0.038239937,,,
710,__jamjane,https://instagram.com/__jamjane,23,1987,7910,1714,0.090251229,,,
711,alohaelita,https://instagram.com/alohaelita,22,1450,1556,207,0.023685625,,,
712,sorari.v._.v,https://instagram.com/sorari.v._.v,6,1436,430,40,0.023378432,,,
713,_2ss22,https://instagram.com/_2ss22,22,1716,3809,148,0.044920988,,,
714,dohe_0817,https://instagram.com/dohe_0817,2,3692,485,3,0.028323789,,,
715,nan.seolon2ya,https://instagram.com/nan.seolon2ya,8,3323,1975,75,0.03304888,,,
716,badboriri_,https://instagram.com/badboriri_,22,1545,2219,63,0.028773169,,,
717,dam2_0124,https://instagram.com/dam2_0124,19,1385,203,4,0.003371244,,,
718,hy_nanana,https://instagram.com/hy_nanana,3,1396,299,31,0.033769955,,,
719,diddy_dd_,https://instagram.com/diddy_dd_,1,1488,198,43,0.069412442,,,
720,qowjdals__,https://instagram.com/qowjdals__,235,1340,28577,1366,0.040751713,,,
721,seongmin6131,https://instagram.com/seongmin6131,178,1347,15647,522,0.028901393,,,
722,juncore_,https://instagram.com/juncore_,152,10421,83214,2116,0.023087238,,,
723,llalaen,https://instagram.com/llalaen,50,1630,10809,2685,0.070958808,,,
724,zip_party,https://instagram.com/zip_party,136,1745,39382,1942,0.074626183,,,
725,jihyung0_0,https://instagram.com/jihyung0_0,20,1232,3119,172,0.057241419,,,
726,mc.ssul,https://instagram.com/mc.ssul,37,1535,1921,38,0.014782488,,,
727,yoxna,https://instagram.com/yoxna,7,1444,1376,56,0.060715699,,,
728,1lsancityboy,https://instagram.com/1lsancityboy,18,1638,6709,50,0.098246991,,,
729,limeday_,https://instagram.com/limeday_,21,5830,18094,723,0.06586971,,,
730,chacha_ye_,https://instagram.com/chacha_ye_,68,4345,49903,1235,0.074176828,,,
731,theatermovie,https://instagram.com/theatermovie,41,1444,194,3,0.001426062,,,
732,sso._.free,https://instagram.com/sso._.free,25,1369,1984,160,0.026847543,,,
733,siyun_gram,https://instagram.com/siyun_gram,5,1383,218,9,0.014068795,,,
734,mela_2205_yu_,https://instagram.com/mela_2205_yu_,17,1722,1157,40,0.017524083,,,
